metropolitan,121378,2,,1,,1,,121379,2,,1,,1,,121380,2,,1,,1,,121381,2,,1,,1,,121382,2,,1,,1,,121383,2,,1,,1,,121384,2,,1,,1,,121386,1,,,,1,
michigan,121377,3,1,1,,1,,121385,3,1,1,,1,
miles,121378,3,,3,,,,121379,3,,3,,,,121380,1,,1,,,,121381,1,,1,,,,121382,1,,1,,,,121383,3,,3,,,,121384,3,,3,,,
minnesota,121378,19,1,1,6,9,2,121379,15,1,,6,6,2,121380,15,1,,6,6,2,121381,15,1,,6,6,2,121382,15,1,,6,6,2,121383,15,1,,6,6,2,121384,15,1,,6,6,2,121386,15,1,,6,6,2
names,121378,2,,,1,1,,121379,2,,,1,1,,121380,2,,,1,1,,121381,2,,,1,1,,121382,2,,,1,1,,121383,2,,,1,1,,121384,2,,,1,1,,121386,2,,,1,1,
native,121378,2,,1,,1,,121379,2,,1,,1,,121381,2,,1,,1,,121382,2,,1,,1,,121384,2,,1,,1,,121386,2,,1,,1,
nbsp,121378,6,,6,,,,121379,6,,6,,,,121380,3,,3,,,,121381,2,,2,,,,121382,2,,2,,,,121383,7,,7,,,,121384,6,,6,,,
north,121378,5,,1,1,3,,121379,5,,1,1,3,,121380,5,,1,1,3,,121381,5,,1,1,3,,121382,5,,1,1,3,,121383,5,,1,1,3,,121384,5,,1,1,3,,121386,4,,,1,3,
older,121378,2,,2,,,,121379,2,,2,,,,121380,2,,2,,,,121381,2,,2,,,,121382,2,,2,,,,121383,2,,2,,,,121384,2,,2,,,,121386,2,,2,,,
people,121380,2,,2,,,,121383,2,,2,,,
political,121378,2,,,1,1,,121379,2,,,1,1,,121380,2,,,1,1,,121381,2,,,1,1,,121382,2,,,1,1,,121383,2,,,1,1,,121384,2,,,1,1,,121386,2,,,1,1,
polk,121378,7,1,1,2,2,1,121379,7,1,1,2,2,1,121380,7,1,1,2,2,1,121381,7,1,1,2,2,1,121382,7,1,1,2,2,1,121383,7,1,1,2,2,1,121384,7,1,1,2,2,1,121386,6,,,3,2,1
population,121378,4,,3,,1,,121379,5,,4,,1,,121380,5,,4,,1,,121381,5,,4,,1,,121382,4,,3,,1,,121383,5,,4,,1,,121384,4,,3,,1,,121386,3,,2,,1,
poverty,121378,2,,1,,1,,121379,2,,1,,1,,121380,2,,1,,1,,121381,2,,1,,1,,121382,2,,1,,1,,121383,2,,1,,1,,121384,2,,1,,1,,121386,2,,1,,1,
present,121378,1,,1,,,,121379,1,,1,,,,121380,1,,1,,,,121381,1,,1,,,,121382,1,,1,,,,121383,1,,1,,,,121384,1,,1,,,,121386,1,,1,,,
processing,121378,2,,,1,1,,121379,2,,,1,1,,121380,2,,,1,1,,121381,2,,,1,1,,121382,2,,,1,1,,121383,2,,,1,1,,121384,2,,,1,1,,121386,2,,,1,1,
race,121379,2,,1,,1,,121381,1,,1,,,
races,121379,1,,1,,,,121380,1,,1,,,,121382,1,,1,,,,121384,1,,1,,,
racial,121380,1,,1,,,,121383,1,,1,,,
redirect,121377,1,,1,,,,121385,1,,1,,,
residing,121380,1,,1,,,,121383,1,,1,,,
settlement,121378,1,,,1,,,121379,1,,,1,,,121380,1,,,1,,,121381,1,,,1,,,121382,1,,,1,,,121383,1,,,1,,,121384,1,,,1,,,121386,1,,,1,,
sherman,121377,3,1,1,,1,,121385,3,1,1,,1,
sixty,121383,1,,1,,,
size,121378,2,,2,,,,121379,2,,2,,,,121380,2,,2,,,,121381,2,,2,,,,121382,2,,2,,,,121383,2,,2,,,,121384,2,,2,,,,121386,2,,2,,,
spread,121378,1,,1,,,,121379,1,,1,,,,121380,1,,1,,,,121381,1,,1,,,,121382,1,,1,,,,121383,1,,1,,,,121384,1,,1,,,,121386,1,,1,,,
square,121378,3,,3,,,,121379,3,,3,,,,121380,2,,2,,,,121381,1,,1,,,,121382,1,,1,,,,121383,4,,4,,,,121384,3,,3,,,,121386,1,,,,1,
standard,121378,2,,,1,1,,121379,2,,,1,1,,121380,2,,,1,1,,121381,2,,,1,1,,121382,2,,,1,1,,121383,2,,,1,1,,121384,2,,,1,1,,121386,2,,,1,1,
state,121378,2,,,2,,,121379,2,,,2,,,121380,2,,,2,,,121381,2,,,2,,,121382,2,,,2,,,121383,2,,,2,,,121384,2,,,2,,,121386,1,,,1,,
states,121378,11,,1,4,6,,121379,12,,1,4,7,,121380,11,,1,4,6,,121381,11,,1,4,6,,121382,11,,1,4,6,,121383,11,,1,4,6,,121384,11,,1,4,6,,121386,9,,,3,6,
statistical,121378,2,,1,,1,,121379,2,,1,,1,,121380,2,,1,,1,,121381,2,,1,,1,,121382,2,,1,,1,,121383,2,,1,,1,,121384,2,,1,,1,,121386,1,,,,1,
system,121378,2,,,1,1,,121379,2,,,1,1,,121380,2,,,1,1,,121381,2,,,1,1,,121382,2,,,1,1,,121383,2,,,1,1,,121384,2,,,1,1,,121386,2,,,1,1,
time,121378,2,,,1,1,,121379,2,,,1,1,,121380,2,,,1,1,,121381,2,,,1,1,,121382,2,,,1,1,,121383,2,,,1,1,,121384,2,,,1,1,,121386,2,,,1,1,
total,121378,1,,1,,,,121379,1,,1,,,,121380,1,,1,,,,121381,1,,1,,,,121382,1,,1,,,,121383,1,,1,,,,121384,1,,1,,,
township,121377,3,1,1,,1,,121378,11,1,5,3,2,,121379,9,1,4,3,1,,121380,11,1,6,3,1,,121381,9,1,4,3,1,,121382,9,1,4,3,1,,121383,11,1,6,3,1,,121384,9,1,4,3,1,,121385,3,1,1,,1,
townships,121378,1,,,,,1,121379,1,,,,,1,121380,1,,,,,1,121381,1,,,,,1,121382,1,,,,,1,121383,1,,,,,1,121384,1,,,,,1
unincorporated,121386,1,,,1,,
united,121378,11,,1,4,6,,121379,12,,1,4,7,,121380,11,,1,4,6,,121381,11,,1,4,6,,121382,11,,1,4,6,,121383,11,,1,4,6,,121384,11,,1,4,6,,121386,9,,,3,6,
units,121380,1,,1,,,,121383,1,,1,,,
versus,121378,1,,1,,,,121379,1,,1,,,,121380,1,,1,,,,121381,1,,1,,,,121382,1,,1,,,,121383,1,,1,,,,121384,1,,1,,,,121386,1,,1,,,
water,121378,1,,1,,,,121379,1,,1,,,,121383,1,,1,,,,121384,1,,1,,,
white,121378,2,,1,,1,,121379,1,,,,1,,121380,3,,2,,1,,121381,2,,1,,1,,121382,1,,,,1,,121383,3,,2,,1,,121384,1,,,,1,,121386,2,,1,,1,
years,121378,3,,3,,,,121379,3,,3,,,,121380,3,,3,,,,121381,3,,3,,,,121382,3,,3,,,,121383,3,,3,,,,121384,3,,3,,,,121386,3,,3,,,
zone,121378,2,,,1,1,,121379,2,,,1,1,,121380,2,,,1,1,,121381,2,,,1,1,,121382,2,,,1,1,,121383,2,,,1,1,,121384,2,,,1,1,,121386,2,,,1,1,
